Function,Method,Nests,Iterations,Dimension,NumProc,Time_ms
sphere,SEQUENTIAL,5000,40,2000,,27815.2
sphere,THREADS,5000,40,2000,,11514.2
sphere,PROCESS,5000,40,2000,8,6419.43
rosen,SEQUENTIAL,5000,40,2000,,50892.6
rosen,THREADS,5000,40,2000,,14654
rosen,PROCESS,5000,40,2000,8,11669.1
rastrigin,SEQUENTIAL,5000,40,2000,,38996.5
rastrigin,THREADS,5000,40,2000,,15491.5
rastrigin,PROCESS,5000,40,2000,8,9314.01
ackley,SEQUENTIAL,5000,40,2000,,38420.3
ackley,THREADS,5000,40,2000,,14478.3
ackley,PROCESS,5000,40,2000,8,9093.55
schwefel,SEQUENTIAL,5000,40,2000,,44189.5
schwefel,THREADS,5000,40,2000,,13915.4
schwefel,PROCESS,5000,40,2000,8,9641.39
